,Distance(Nodes),Q25(Nodes),Q75(Nodes),P(node drop),Distance(Edges),Q25(Edges),Q75(Edges),P(edge drop)
P=0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P=0.010,0.3552137713103672,0.0,0.0,0.010204081632653,0.2236566880348418,0.0,0.3569073230028152,0.010204081632653
P=0.020,0.6763203604141715,0.0,1.197788953781128,0.0204081632653061,0.4097280422190336,0.0,0.6054851114749908,0.0204081632653061
P=0.031,0.9802712687755132,0.0,1.6328634321689606,0.0306122448979591,0.5662131830843494,0.2061346434056759,0.8055579513311386,0.0306122448979591
P=0.041,1.2263700695070436,0.0,1.924501210451126,0.0408163265306122,0.6988607506633716,0.3188994228839874,0.9558814316987992,0.0408163265306122
P=0.051,1.4712043907421029,0.0,2.184480130672455,0.0510204081632653,0.8239785106085714,0.4147661551833153,1.09993976354599,0.0510204081632653
P=0.061,1.733666872648172,0.6765446811914444,2.485750198364258,0.0612244897959183,0.93576955315162,0.4931340143084526,1.2343685626983645,0.0612244897959183
P=0.071,1.9316098643691333,0.8826954513788223,2.7107855677604675,0.0714285714285714,1.0386271161726237,0.5754219442605972,1.3492826521396637,0.0714285714285714
P=0.082,2.1301802087857262,1.0265401601791382,2.9430724382400517,0.0816326530612244,1.136066510418755,0.6470723748207092,1.4715690314769745,0.0816326530612244
P=0.092,2.3344276243508286,1.2181681990623474,3.166610896587372,0.0918367346938775,1.2306890868233922,0.7284266948699951,1.571149617433548,0.0918367346938775
P=0.102,2.5414068209592906,1.3365094363689425,3.4133763313293457,0.1020408163265306,1.3139505303680146,0.8007550537586212,1.6731192469596865,0.1020408163265306
P=0.112,2.699826110015769,1.4820759892463684,3.556811809539795,0.1122448979591836,1.408223413104543,0.8682753443717957,1.793317824602127,0.1122448979591836
P=0.122,2.9083743263967183,1.6194831132888794,3.796582877635956,0.1224489795918367,1.483337672275416,0.9267154932022096,1.881488412618637,0.1224489795918367
P=0.133,3.07710652499264,1.7566759586334229,3.974529325962066,0.1326530612244897,1.5462817776561883,0.9782495200634004,1.9644392728805544,0.1326530612244897
P=0.143,3.256374363784308,1.848494052886963,4.216973543167114,0.1428571428571428,1.6383104886316622,1.043113112449646,2.0493905544281006,0.1428571428571428
P=0.153,3.435775004280889,2.0029126405715942,4.397430181503296,0.1530612244897959,1.7134707882895504,1.0983931422233582,2.1592646837234497,0.1530612244897959
P=0.163,3.609662409270925,2.0998823642730717,4.565299272537232,0.1632653061224489,1.7851042648739095,1.1702739298343658,2.24052232503891,0.1632653061224489
P=0.173,3.790495578023034,2.2357539534568787,4.777920961380005,0.173469387755102,1.849924852695184,1.2157198190689087,2.323686182498932,0.173469387755102
P=0.184,3.967073014734382,2.354881465435028,4.988235235214233,0.183673469387755,1.934639622764552,1.2786525785923004,2.424232542514801,0.183673469387755
P=0.194,4.105527517571262,2.464594841003418,5.17240846157074,0.1938775510204081,1.995687583174217,1.3342509865760803,2.480509638786316,0.1938775510204081
P=0.204,4.2915081181580765,2.543581783771515,5.404145240783691,0.2040816326530612,2.061852593749371,1.3769638240337372,2.5693718791008,0.2040816326530612
P=0.214,4.456656466264268,2.677508771419525,5.610235095024109,0.2142857142857142,2.125789562353249,1.4290754199028015,2.6453096866607666,0.2142857142857142
P=0.224,4.632268075814811,2.809503197669983,5.807222247123718,0.2244897959183673,2.192917628195984,1.480404555797577,2.723950505256653,0.2244897959183673
P=0.235,4.76377204223826,2.9358449578285217,5.939605116844177,0.2346938775510204,2.2640644107758274,1.5415698885917664,2.8067017197608948,0.2346938775510204
P=0.245,4.94822336478399,3.016046106815338,6.158448338508606,0.2448979591836734,2.311227434939637,1.579733908176422,2.8443352580070496,0.2448979591836734
P=0.255,5.149729513004362,3.148574948310852,6.4068603515625,0.2551020408163265,2.3817130980720567,1.637572020292282,2.950170516967773,0.2551020408163265
P=0.265,5.263482528171688,3.2070131301879883,6.459073901176453,0.2653061224489795,2.4379585132646517,1.6682352721691132,3.012312889099121,0.2653061224489795
P=0.276,5.485394484804221,3.359634101390838,6.811461210250855,0.2755102040816326,2.5118582552954942,1.7385976016521454,3.1015934348106384,0.2755102040816326
P=0.286,5.618087111461936,3.4629065990448,6.9298622608184814,0.2857142857142857,2.574082221089106,1.7831853330135343,3.172100245952606,0.2857142857142857
P=0.296,5.795307473973093,3.578591465950012,7.149818301200867,0.2959183673469387,2.6315577758388446,1.829579204320908,3.2558274269104004,0.2959183673469387
P=0.306,5.932081292049627,3.662749350070954,7.282278537750244,0.3061224489795918,2.675983617705129,1.8594307601451876,3.2913074493408203,0.3061224489795918
P=0.316,6.155738540937592,3.752133965492249,7.613474488258362,0.3163265306122448,2.7331983191023714,1.911780297756195,3.3623836636543274,0.3163265306122448
P=0.327,6.275065912357177,3.8479989767074585,7.77664303779602,0.3265306122448979,2.812807342107773,1.968309223651886,3.4500548243522644,0.3265306122448979
P=0.337,6.435479554615443,3.967340469360352,7.892436504364014,0.336734693877551,2.8763936378171464,1.995767176151276,3.55990332365036,0.336734693877551
P=0.347,6.59196946606621,4.032626748085022,8.196856498718262,0.3469387755102041,2.931452838205256,2.054420411586761,3.6012213230133057,0.3469387755102041
P=0.357,6.764901554822208,4.17327892780304,8.381106853485107,0.3571428571428571,3.0082105605965044,2.1049076318740845,3.6991277933120728,0.3571428571428571
P=0.367,6.930871504290391,4.217138051986694,8.56673264503479,0.3673469387755101,3.046475945847298,2.1417170763015747,3.734086811542511,0.3673469387755101
P=0.378,7.088264833815737,4.372221231460571,8.733112573623657,0.3775510204081632,3.113407799469925,2.198077917098999,3.822900712490082,0.3775510204081632
P=0.388,7.268829824337535,4.491501688957214,9.042155265808104,0.3877551020408163,3.1877877817312466,2.237224817276001,3.903305172920227,0.3877551020408163
P=0.398,7.459146997406344,4.615258097648621,9.22733235359192,0.3979591836734693,3.2610902729673383,2.3120534420013428,3.970062553882599,0.3979591836734693
P=0.408,7.572697038804611,4.645132660865784,9.392094612121582,0.4081632653061224,3.3201486795219743,2.342307209968567,4.064063191413879,0.4081632653061224
P=0.418,7.816276871927578,4.77960741519928,9.741631746292114,0.4183673469387755,3.381260827750262,2.37765634059906,4.138041973114014,0.4183673469387755
P=0.429,7.913972592193744,4.848127365112305,9.852522373199465,0.4285714285714285,3.4389714888096474,2.416239082813263,4.2009581327438354,0.4285714285714285
P=0.439,8.098079373074318,4.968869924545288,9.98779821395874,0.4387755102040816,3.5185205575342104,2.48821359872818,4.288111686706543,0.4387755102040816
P=0.449,8.389657831133192,5.099671721458435,10.4066641330719,0.4489795918367346,3.592201749482137,2.537851095199585,4.390603542327881,0.4489795918367346
P=0.459,8.536870918392923,5.202978849411011,10.63635754585266,0.4591836734693877,3.638848059680967,2.554987072944641,4.461390137672424,0.4591836734693877
P=0.469,8.764381471217941,5.361995458602905,10.859999179840088,0.4693877551020408,3.720899074141444,2.617478370666504,4.549700498580933,0.4693877551020408
P=0.480,8.910214889943456,5.411371350288391,11.161033868789673,0.4795918367346938,3.7813708461246094,2.669333636760712,4.609827876091003,0.4795918367346938
P=0.490,9.076743463172129,5.52033531665802,11.26560091972351,0.4897959183673469,3.8732371707648015,2.734440565109253,4.734416842460632,0.4897959183673469
P=0.500,9.271335106131485,5.605207443237305,11.584684371948242,0.5,3.937611606435528,2.763716101646424,4.786397457122803,0.5
