,Cochrans p-val,Kappa(Chemdist),Kappa(ECFP4),Kappa(ECFP0)
CHEMBL210,0.28425781448697224,0.5005096522842896,0.5123489666847959,0.44535990532414244
CHEMBL339,0.09602461798949272,0.4846652094052635,0.5608875898867648,0.40618043814116717
CHEMBL1974,0.10986353116569574,0.5858327531493528,0.6216364295429315,0.5410826621704281
CHEMBL333,0.007435220096866191,0.579546011175448,0.6370182873439754,0.46182221125356754
CHEMBL361,4.6502031603217394e-05,0.6671305649401064,0.7623764000319322,0.680403451915665
CHEMBL365,0.17966703494706812,0.5047729823587861,0.5189220313098661,0.4515802944720308
CHEMBL237,0.3382270897935499,0.4089425590611994,0.44996671188441145,0.3848990836156453
CHEMBL388,0.012308347256458511,0.539739635616743,0.6028544447283979,0.5490056762222689
CHEMBL1957,0.001956171652978264,0.6372253082996101,0.7097462331065071,0.5618849711840639
CHEMBL256,0.20428820975138962,0.5043975542333496,0.5184093201969041,0.43703691315771537
CHEMBL244,0.01567727153620339,0.6243663120792742,0.6848729248261545,0.5763466005072417
CHEMBL4005,0.01396867274720332,0.663682637331769,0.7037346977926349,0.584434424489263
CHEMBL2366516,0.3665420994013001,0.4986696558657663,0.5277086692390907,0.4678424522129113
CHEMBL353,0.0004802510714381151,0.5301829662793565,0.5465558515088744,0.4279317564772138
CHEMBL355,0.23146850106684042,0.45463987468987377,0.5060194096189414,0.4406535753766425
CHEMBL205,0.015971829433446653,0.5035112216366591,0.5654019565539985,0.4693880708295207
CHEMBL4247,0.154429945744419,0.4724255584159371,0.526068021271479,0.42606752849017077
CHEMBL1907607,0.18802192888672759,0.37659495192436865,0.3985224485532658,0.4273422188469266
CHEMBL228,0.025765316784212712,0.4687765820115894,0.5311962980022071,0.41340486861161496
CHEMBL2842,0.0017934230337859306,0.6631737229876791,0.7435928601200693,0.6660859148185432
CHEMBL1991,0.03518251101571557,0.6296369668125239,0.7259969303600177,0.6080151327547169
CHEMBL204,0.00016552211202903663,0.5559398728231246,0.652109777251958,0.48094034780136424
CHEMBL261,,,,
CHEMBL4722,0.0016645687501630952,0.5261163294283946,0.5984445684807429,0.4380217334254505
CHEMBL367,0.07602268471615992,0.5417828340306883,0.5888833558689603,0.5300469935494119
CHEMBL4235,0.4221872225561933,0.39819983371943823,0.4220242251530341,0.37707134175120166
CHEMBL4792,0.002906360761922282,0.5320718266520619,0.5599996599931718,0.3424028459257226
CHEMBL4078,0.028621900088475632,0.46077711839503604,0.5284018435177062,0.4281816594668708
CHEMBL2146316,0.3312589180678397,0.3173559081940315,0.3534232227736169,0.27028839230682006
CHEMBL1907610,0.03128266892966843,0.49247432869428776,0.5942588354898926,0.46030377408724144
CHEMBL301,0.004790328238166461,0.6070880111421509,0.6538230697996795,0.5219589977171956
CHEMBL3778,0.03634388772212731,0.5957825817376485,0.6339406237656495,0.5198537616539729
CHEMBL377,0.4879768254077601,0.4454137585258892,0.4438097862619349,0.40338788795639147
CHEMBL4296,0.2763455693434299,0.427201834818386,0.4962658728921493,0.4266030958065007
CHEMBL2903,0.040714261159172885,0.40765642621613074,0.5061133637652538,0.4252449601473091
CHEMBL238,0.3545788122636087,0.5058128961014902,0.5391812590487148,0.4865455777383709
CHEMBL313,0.0994567193595312,0.5984204753478286,0.627585425096625,0.5172801228834898
CHEMBL2835,0.043142870804335445,0.4652115370927943,0.5323457723799698,0.42743159538513337
CHEMBL362,7.729524358545408e-07,0.5442708383058653,0.591863962771054,0.45521101846878304
CHEMBL356,0.04255383928840964,0.48964309123863503,0.5441009437849773,0.45318577278154554
CHEMBL279,4.6651577374906895e-08,0.519354831894819,0.5730007888769517,0.4067614035499664
CHEMBL2599,0.008394000176962037,0.5032251781145858,0.6058951476263676,0.45329618081688733
CHEMBL1075104,0.15280476764750572,0.42407700355636635,0.47766526414167315,0.3887335667877768
CHEMBL284,0.10057877296234759,0.4923886401895361,0.5847473065404964,0.4210714440783484
CHEMBL1163125,0.18967276266325736,0.43733478645768564,0.45342087180223045,0.3821864236881005
CHEMBL2147,0.002385982815728886,0.5398362981099518,0.6345426009360428,0.5156590277619928
CHEMBL351,0.4147573953158997,0.5277172355194566,0.5528515099696093,0.5387869606131653
CHEMBL4523,0.12655392029907803,0.5143011055882288,0.5952934175981776,0.4691476111103784
CHEMBL349,0.622902159327905,0.41993074700225674,0.43604932489229825,0.4389911792357511
CHEMBL363,0.14969674070243608,0.3821567770496578,0.42265590770539196,0.3650919185921904
CHEMBL4794,0.4045820466423569,0.3980881614725352,0.42516616360257664,0.3762663236142876
CHEMBL4630,0.037113871292561704,0.4542473660168371,0.5570628748225694,0.4396641463488634
CHEMBL1862,0.0023806221839737154,0.5955159059394477,0.6160383181301816,0.5317179774555448
CHEMBL2148,0.003325259808987531,0.5519588696776678,0.6561925843153791,0.5135222731184517
CHEMBL357,0.056275590956796226,0.48468545154199116,0.5351871265935564,0.41887522152935086
CHEMBL4409,0.01754376364642054,0.5406423019773745,0.5855295139275839,0.3749916926337905
CHEMBL3130,0.15150468318400737,0.49830925494350087,0.5710164163509299,0.49022497725889946
CHEMBL2971,0.023443411037784582,0.4748811493133066,0.5484916899154125,0.4300013316697199
